--- RESULTADOS LABORATORIO FÍSICA ---
Medición 01: 53.360 mm
Medición 02: 53.320 mm
Medición 03: 53.400 mm
Medición 04: 53.380 mm
Medición 05: 53.340 mm
Medición 06: 53.440 mm
Medición 07: 53.420 mm
Medición 08: 53.400 mm
Medición 09: 53.360 mm
Medición 10: 53.380 mm
Medición 11: 50.100 mm
Medición 12: 50.140 mm
Medición 13: 50.120 mm
Medición 14: 50.100 mm
Medición 15: 50.140 mm
Medición 16: 50.120 mm
Medición 17: 50.120 mm
Medición 18: 50.160 mm
Medición 19: 50.140 mm
Medición 20: 50.120 mm
Medición 21: 50.220 mm
Medición 22: 50.240 mm
Medición 23: 50.260 mm
Medición 24: 50.220 mm
Medición 25: 50.280 mm
Medición 26: 50.240 mm
Medición 27: 50.260 mm
Medición 28: 50.240 mm
Medición 29: 50.300 mm
Medición 30: 50.280 mm
