Measurement_ID,Dimension,Lp,A,n
1,External Diameter,53,0.02,18
2,External Diameter,53,0.02,16
3,External Diameter,53,0.02,20
4,External Diameter,53,0.02,19
5,External Diameter,53,0.02,17
6,External Diameter,53,0.02,22
7,External Diameter,53,0.02,21
8,External Diameter,53,0.02,20
9,External Diameter,53,0.02,18
10,External Diameter,53,0.02,19
1,Height,50,0.02,5
2,Height,50,0.02,7
3,Height,50,0.02,6
4,Height,50,0.02,5
5,Height,50,0.02,7
6,Height,50,0.02,6
7,Height,50,0.02,6
8,Height,50,0.02,8
9,Height,50,0.02,7
10,Height,50,0.02,6
1,Internal Diameter,50,0.02,11
2,Internal Diameter,50,0.02,12
3,Internal Diameter,50,0.02,13
4,Internal Diameter,50,0.02,11
5,Internal Diameter,50,0.02,14
6,Internal Diameter,50,0.02,12
7,Internal Diameter,50,0.02,13
8,Internal Diameter,50,0.02,12
9,Internal Diameter,50,0.02,15
10,Internal Diameter,50,0.02,14
